"id","iso_639_2_code_b","iso_639_2_code_t","iso_639_1_code","english_name","french_name","created_at","updated_at","updated_by"
346,pli,   ,pi,Pali,pali,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
347,pol,   ,pl,Polish,polonais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
348,pon,   ,  ,Pohnpeian,pohnpei,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
349,por,   ,pt,Portuguese,portugais,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
350,pra,   ,  ,Prakrit languages,"prâkrit, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
351,pro,   ,  ,"Provençal, Old (to 1500); Occitan, Old (to 1500)",provençal ancien (jusqu'à 1500); occitan ancien (jusqu'à 1500),2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
352,pus,   ,ps,Pushto; Pashto,pachto,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
353,que,   ,qu,Quechua,quechua,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
354,raj,   ,  ,Rajasthani,rajasthani,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
355,rap,   ,  ,Rapanui,rapanui,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
356,rar,   ,  ,Rarotongan; Cook Islands Maori,rarotonga; maori des îles Cook,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
357,roa,   ,  ,Romance languages,"romanes, langues",2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
358,roh,   ,rm,Romansh,romanche,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
359,rom,   ,  ,Romany,tsigane,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
360,rum,ron,ro,Romanian; Moldavian; Moldovan,roumain; moldave,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
361,run,   ,rn,Rundi,rundi,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
362,rup,   ,  ,Aromanian; Arumanian; Macedo-Romanian,aroumain; macédo-roumain,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
363,rus,   ,ru,Russian,russe,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
364,sad,   ,  ,Sandawe,sandawe,2026-01-21 10:58:05.583,2026-01-21 10:58:05.583,postgres
